circuit_width,circuit_depth,u1,u2,u3,cx,hamming_weight,25_observed_state_prob,50_observed_state_prob,75_observed_state_prob,25_frc_state_error,50_frc_state_error,75_frc_state_error,25_frc_program_error,50_frc_program_error,75_frc_program_error,true_probability,state_name
5,1,0,2,1,1,1,0.0,0.0,0.0,1.0,2.0,2.0,62.000000000000014,65.00000000000001,68.0,0.0,00001
5,1,0,2,1,1,1,2.0,3.0,4.0,10.0,11.0,13.0,62.000000000000014,65.00000000000001,68.0,0.0,00010
5,1,0,2,1,1,2,0.0,0.0,0.0,0.0,0.0,1.0,62.000000000000014,65.00000000000001,68.0,0.0,00011
5,1,0,2,1,1,1,18.0,21.0,24.0,8.0,10.500000000000002,12.0,62.000000000000014,65.00000000000001,68.0,22.0,00100
5,1,0,2,1,1,2,0.0,0.0,1.0,0.0,0.0,1.0,62.000000000000014,65.00000000000001,68.0,0.0,00101
5,1,0,2,1,1,2,17.0,20.0,23.0,2.0,3.0,5.0,62.000000000000014,65.00000000000001,68.0,20.0,00110
5,1,0,2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,00111
5,1,0,2,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,62.000000000000014,65.00000000000001,68.0,0.0,01000
5,1,0,2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,01001
5,1,0,2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,01010
5,1,0,2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,01011
5,1,0,2,1,1,2,1.0,2.0,3.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,01100
5,1,0,2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,01101
5,1,0,2,1,1,3,1.0,2.0,3.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,01110
5,1,0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,01111
5,1,0,2,1,1,1,1.7500000000000002,3.0,4.0,17.0,19.0,23.0,62.000000000000014,65.00000000000001,68.0,1.0,10000
5,1,0,2,1,1,2,0.0,0.0,0.0,0.0,1.0,1.0,62.000000000000014,65.00000000000001,68.0,0.0,10001
5,1,0,2,1,1,2,2.0,3.0,4.0,4.0,6.0,7.000000000000001,62.000000000000014,65.00000000000001,68.0,0.0,10010
5,1,0,2,1,1,3,0.0,0.0,0.0,0.0,0.0,1.0,62.000000000000014,65.00000000000001,68.0,0.0,10011
5,1,0,2,1,1,2,16.0,18.0,20.25,4.75,6.0,7.000000000000001,62.000000000000014,65.00000000000001,68.0,22.0,10100
5,1,0,2,1,1,3,0.0,0.0,0.25,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,10101
5,1,0,2,1,1,3,16.0,18.0,22.0,1.0,2.0,2.25,62.000000000000014,65.00000000000001,68.0,31.0,10110
